fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"64","70",1,100.063364225207,1,298.523834228516,298.529235839844
"65","61",1,7604.73509862064,0.631578947368421,243.462711535002,243.857391357422
"66","60",1,16610.401821456,0,248.745531288974,249.935516357422
"67","71",1,500.314962993842,0,267.874133300781,268.222778320313
"68","73",1,100.063391289557,1,303.561126708984,303.646179199219
"69","74",1,500.317000131938,1,303.275854492187,303.646179199219
"70","76",1,400.25141766225,0,259.863433837891,260.187042236328
"71","77",1,2001.25775766751,0,259.514561462402,260.318176269532
"72","75",1,1200.7471936185,0,243.720681508382,243.839782714848
"73","78",1,600.373556832317,0,243.781392415365,243.839782714848
"74","79",1,100.063810733613,1,328.669464111328,328.700653076172
"75","51",1,49430.6396470875,0.0384615384615385,242.87875014085,243.839782714844
"76","80",1,2801.74336722022,1,247.208240509033,247.998962402344
"77","81",1,1100.70095700159,1,316.213312322443,316.61068725586
"78","83",1,200.127001170651,1,303.079071044922,303.124633789063
"79","84",1,200.127776375448,1,328.780456542969,328.831207275391
"80","86",1,100.063742120226,1,308.951202392578,309.007263183594
"81","87",1,100.063750005676,1,309.101135253906,309.220794677734
"82","88",1,100.063757673255,1,309.180725097656,309.304351806641
"83","89",1,200.127086082706,1,292.38298034668,292.639312744141
"84","85",1,2801.78150439146,1,297.724778311593,298.627655029297
"85","82",1,12407.7113247911,1,247.599878126575,248.749908447266
"86","90",1,1000.63429820898,1,285.517739868164,285.98388671875
"87","91",1,100.062136920984,1,249.80046081543,249.876205444336
"88","92",1,100.063415634388,1,285.688079833984,285.98388671875
"89","93",1,100.063822020194,1,316.826141357422,316.973052978516
"90","94",1,100.0633999079,1,285.574523925781,285.6943359375
"91","95",1,200.127664706146,1,316.834075927734,317.00244140625
"92","72",1,34421.5451919932,0,249.386706684911,249.935516357423
"93","96",1,100.063395303616,1,285.482238769531,285.6943359375
"94","97",1,100.063837158785,1,316.962219238281,317.00244140625
"95","98",1,400.251383793075,0,253.718059539795,253.882827758789
"96","99",1,200.125749154191,0,255.649955749512,256.027282714844
"97","100",1,100.063375272788,1,284.978637695312,285.209686279297
"98","101",1,200.127760613046,1,322.999435424805,323.090087890625
"99","103",1,100.063371138065,1,285.172058105469,285.209686279297
"100","104",1,200.127775595116,1,322.759719848633,323.090087890625
"101","105",1,3602.26682575571,0,261.617374844021,262.111511230469
"102","109",1,100.063011847844,0,261.886383056641,262.125183105469
"103","106",1,2701.72660094011,1,327.62166567202,328.294708251953
"104","108",1,5503.46964923112,0.581818181818182,266.651302823153,267.768798828125
"105","110",1,100.063122565742,0,267.712524414062,267.833129882813
"106","111",1,500.316123940574,0,272.100915527344,272.286437988281
"107","102",1,12007.4487132067,1,252.425174713135,253.446594238281
"108","112",1,100.063326290227,0,280.263427734375,280.409454345703
"109","113",1,300.191940445977,1,346.743621826172,346.899017333985
"110","115",1,300.190744098742,1,317.21425374349,317.90170288086
"111","117",1,100.063439923222,1,292.635467529297,292.913330078125
"112","118",1,100.063444597297,1,292.763885498047,292.913330078125
"113","119",1,100.063447820721,1,292.668548583984,292.913330078125
"114","120",1,100.063513385714,1,304.693695068359,304.840270996094
"115","116",1,1901.21014690964,1,333.919099506579,334.687255859375
"116","114",1,2601.61257904634,1,255.142165550819,255.936904907227
"117","121",1,200.124020780786,1,255.848052978516,255.936904907227
"118","122",1,100.063729786489,1,339.927368164062,340.148651123047
"119","123",1,200.125062630395,1,254.177619934082,254.220123291016
"120","107",1,31419.6430047695,0.761146496815287,251.014227557334,252.472885131836
"121","124",1,100.063734002179,1,339.890106201172,340.148651123047
"122","125",1,300.186010341975,1,255.968678792318,256.031555175781
"123","127",1,200.127511332335,1,341.052963256836,341.165771484375
"124","128",1,100.062512653298,1,255.974685668945,256.006469726563
"125","129",1,100.063761602272,1,341.082702636719,341.165771484375
"126","130",1,100.06250867655,1,255.953063964844,256.006469726563
"127","131",1,100.063270099694,1,304.057678222656,304.148284912109
"128","132",1,300.185967440484,1,258.154184977214,258.276184082031
"129","133",1,100.06198030716,1,258.703643798828,258.719787597656
"130","134",1,100.063484293933,1,310.844329833984,310.947631835938
"131","136",1,100.062416559376,1,267.78662109375,268.076934814453
"132","137",1,100.061755969189,1,271.249420166016,271.278686523438
"133","140",1,500.308684236137,1,271.231640625,271.397155761719
"134","138",1,800.494846698944,1,265.948253631592,266.104431152344
"135","139",1,900.561468085623,1,271.687981499566,271.898040771484
"136","126",1,24615.4253320677,0.902439024390244,251.855500135964,253.10432434082
"137","135",1,5603.46985924646,1,258.273746490479,258.858123779297
"138","141",1,100.062831921387,1,255.51123046875,255.533798217773
"139","143",1,1000.63806084986,1,408.301663208008,408.423950195313
"140","144",1,1200.74027920607,1,277.658025105794,278.075653076172
"141","145",1,100.063974113436,1,317.505310058594,317.704559326172
"142","142",1,2601.634229469,0,255.224680973933,255.533798217773
"143","147",1,100.061620398541,1,284.268737792969,284.298278808594
"144","148",1,200.123226655996,1,284.157638549805,284.298278808594
"145","150",1,200.123210026766,1,284.211029052734,284.298278808594
"146","151",1,100.061594476807,1,284.216033935547,284.316070556641
"147","146",1,900.552162696142,1,315.979804144965,316.33529663086
"148","152",1,100.06159017887,1,284.290008544922,284.316070556641
"149","153",1,100.063954175275,1,310.427825927734,310.643676757813
"150","154",1,100.061976546072,1,264.996063232422,265.010620117188
"152","149",1,6704.21588788356,0,255.914007841651,256.047790527344
"153","159",1,100.0636413662,1,304.557250976562,304.558288574219
"154","161",1,400.248352639843,1,279.484817504883,279.837646484375
"155","157",1,1000.61976146098,1,266.414697265625,266.760284423828
"156","155",1,2501.59829288622,0.52,308.189981689453,308.917205810547
"157","162",1,400.245724950801,1,298.17707824707,298.365631103516
"158","160",1,1500.94341968448,0,255.723984781901,256.047790527345
"159","158",1,1701.08148223738,1,302.002741196576,302.570220947266
"160","165",1,400.248588360322,1,285.906089782715,286.02587890625
"161","167",1,100.063600860129,1,302.556884765625,302.570220947266
"162","166",1,200.125761424191,0,256.039459228516,256.047790527345
"163","163",1,600.36867308279,1,298.199620564779,298.365631103516
"164","164",1,500.307420299971,1,297.32431640625,297.459045410156
"165","168",1,100.062877256598,0,256.046630859375,256.047790527345
"166","169",1,200.125744487043,0,256.011672973633,256.047790527345
"167","156",1,2301.40901273163,,,-99998.9999999999
"168","171",1,400.245350539451,1,315.498558044434,315.594543457031
"169","172",1,100.061329380609,1,315.478302001953,315.594543457031
"170","173",1,100.062851526949,0,258.484954833984,258.581756591797
"171","170",1,1000.63057132321,0,260.890463256836,261.195861816406
"172","175",1,100.063069984375,0,261.165405273438,261.195861816407
"173","176",1,300.192647608754,1,332.211364746094,332.302947998047
"174","177",1,100.061916666396,1,271.046081542969,271.076751708984
"175","179",1,100.06311381486,0,263.077697753906,263.094482421875
"176","180",1,1000.63126706291,0,263.034756469727,263.094482421875
"177","178",1,1400.86664025707,1,270.638320922852,271.076751708985
"178","184",1,100.06406123878,1,315.622924804688,315.726806640625
"179","185",1,400.247473882278,1,273.772430419922,274.100952148438
"180","174",1,5803.64324180444,0,258.235535194134,258.581756591798
"181","183",1,900.575203133281,0,296.80766805013,297.113922119141
"182","186",1,2101.33343586221,0.619047619047619,276.644733247303,276.861480712891
"183","187",1,300.190290075669,0,274.286254882812,274.318145751953
"184","188",1,200.127094301919,0,278.338043212891,278.420837402344
"185","182",1,5603.53939066367,0,264.670943123954,265.367309570313
"186","190",1,300.190161700244,0,271.240214029948,271.403228759766
"187","189",1,1801.14977173455,0,292.229816012912,292.595977783203
"188","192",1,1701.07571572217,0,267.912829230813,268.224090576172
"189","193",1,2701.70977528783,0.148148148148148,267.983409740307,268.450897216797
"190","194",1,500.319466680696,0,292.516754150391,292.606018066406
"191","195",1,100.061807156017,1,277.262725830078,277.274658203125
"192","196",1,400.250755853718,1,267.790771484375,268.190216064453
"193","191",1,4402.80801781197,0,289.330196033825,290.169006347657
"194","197",1,100.063786203275,0,290.126800537109,290.169006347656
"195","198",1,100.061794147419,1,277.472808837891,277.533599853516
"196","200",1,100.061790229403,1,277.523559570312,277.533599853516
"197","199",1,1200.76507565245,0,289.776006062826,290.036682128907
"198","202",1,100.062591544352,1,278.962432861328,279.003662109375
"199","203",1,100.06254982081,1,285.830169677734,285.858795166016
"200","204",1,500.316925975319,0,278.578814697266,278.785766601563
"201","206",1,100.062454711471,1,298.703796386719,298.766387939453
"202","207",1,200.124896390073,1,298.578506469727,298.766387939453
"203","205",1,3001.92038214806,0,303.463387044271,304.183044433594
"204","201",1,14909.3622614323,0,260.297333582936,261.546295166016
"205","208",1,300.187313339673,1,298.464426676432,298.769317626953
"206","210",1,300.190326663025,0,286.063496907552,286.333679199219
"207","211",1,100.062271019211,1,334.979522705078,335.078063964844
"208","213",1,100.064041900565,0,310.593872070312,310.86572265625
"209","209",1,5803.6527854341,0,265.286439040612,266.109649658204
"210","215",1,1100.7048126625,0,315.730091441761,316.076934814453
"211","217",1,100.064085297869,0,315.969635009766,316.076934814453
"212","218",1,100.064101053344,0,316.730102539062,316.796844482422
"213","216",1,1100.67897347396,1,288.738392223011,288.89144897461
"214","212",1,3702.32303624571,0.243243243243243,265.147458463102,265.406341552735
"215","219",1,600.381135920528,0,291.964757283529,292.202209472656
"216","220",1,600.381402772677,0,297.801732381185,297.995666503906
"217","222",1,200.127270765137,0,304.368515014648,304.453460693359
"218","214",1,6804.28841125226,0,266.117000804228,266.776489257813
"219","223",1,100.063098354673,0,266.749237060547,266.776489257814
"220","224",1,1000.63685430464,0,310.296871948242,310.752075195313
"221","221",1,2401.50706793193,0,265.07036336263,265.649658203125
"222","225",1,700.446241009166,0,315.9906136649,316.174957275391
"223","227",1,100.062252104748,1,365.529388427734,365.5419921875
"224","228",1,300.185929042578,1,314.423594156901,314.521667480469
"225","229",1,200.124737917329,1,339.911407470703,340.071533203125
"226","226",1,1801.13621724257,0,268.028901841905,268.333526611328
"227","230",1,1600.98691184469,1,295.362150192261,295.658416748047
"228","231",1,800.510162776976,0,316.568607330322,317.0458984375
"229","232",1,300.188340417983,0,268.155069986979,268.223846435547
"231","234",0,100.064459570567,0,475.326843261719,475.326843261719
"232","236",1,100.061747966451,1,304.37841796875,304.422088623047
"233","237",1,100.061752078938,1,304.307281494141,304.422088623047
"234","239",1,100.061755881994,1,304.329345703125,304.422088623047
"235","238",1,200.128328664461,0,334.69026184082,334.900848388672
"236","233",1,3602.25953891507,0,270.326921251085,270.807312011719
"237","240",1,200.128336067079,0,334.82373046875,334.900848388672
"238","242",1,100.062880796846,0,297.548828125,297.701904296875
"239","241",1,5703.57367603842,0.0526315789473684,271.781583551775,272.848327636719
"240","243",1,200.125278640422,1,274.248519897461,274.319183349609
"241","244",1,200.127644095686,0,334.849380493164,335.104766845703
"242","246",1,100.063825958758,0,335.101318359375,335.104766845703
"243","247",1,200.123940043792,1,335.425048828125,335.569030761719
"244","245",1,2201.39120655251,0,274.189799915661,274.493835449219
"245","248",1,100.063216777984,0,274.320556640625,274.493835449219
"246","235",1,9005.68051215849,0,272.071547105577,273.025878906251
"247","250",1,100.06320820254,0,274.287872314453,274.319641113281
"248","249",1,200.123521395726,1,316.331924438477,316.359039306641
"249","251",1,200.124971114623,1,292.322479248047,292.511596679688
"250","252",1,100.063281874056,0,277.802825927734,277.911956787109
"251","254",1,100.063921702444,0,353.082366943359,353.19482421875
"252","255",1,200.123503893148,1,322.201705932617,322.314544677734
"253","253",1,3001.89914929459,0,277.415571085612,277.91195678711
"254","258",1,100.062153255916,1,364.513122558594,364.582366943359
"255","256",1,4602.87845376995,0.58695652173913,282.129140439241,282.580108642578
"256","259",1,100.062412553292,1,304.701385498047,304.816040039063
"257","257",1,12407.8590232851,0,277.475583230296,278.327575683594
"258","260",1,100.063139361562,0,291.106903076172,291.133331298828
