fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"135","131",1,9607.15712153935,0,260.483426094055,261.721649169922
"136","139",1,100.075009989901,1,316.232543945312,316.334106445313
"137","141",1,100.07501258672,1,316.188323974609,316.334106445313
"138","143",1,100.075014640344,1,316.361938476562,316.426116943359
"139","140",1,6004.46934523637,0.433333333333333,259.697047932943,260.222839355469
"140","145",1,200.150913565187,0,364.089248657227,364.239471435547
"141","146",1,200.150917688152,0,364.002624511719,364.239471435547
"142","142",1,9106.7730312444,0.340659340659341,258.712237012255,259.175964355469
"143","144",1,700.525132386247,1,316.251922607422,316.574340820313
"144","147",1,900.669343982998,0.444444444444444,255.763946533203,255.884140014649
"145","149",1,500.37124003045,1,252.199252319336,252.374069213867
"146","148",1,7705.72250434622,0.532467532467532,255.560699066558,255.883316040039
"147","150",1,100.075032801717,1,328.235382080078,328.513854980469
"148","151",1,100.075471074262,0,373.543182373047,373.596557617188
"149","152",1,100.075474408484,1,373.423767089844,373.596557617188
"150","154",1,300.225109947263,1,328.846944173177,329.188537597656
"151","155",1,100.075038837036,1,329.056243896484,329.188537597656
"152","156",1,100.074465490179,0,268.1611328125,268.206298828125
"153","153",1,1801.35871113488,1,373.083009507921,373.596557617188
"154","157",1,700.521258340275,0,267.65232195173,268.206298828125
"155","160",1,400.297913908435,0,275.51993560791,275.594940185547
"156","158",1,2902.16990909725,0,287.584394783809,287.979980468751
"157","161",1,2001.51379277997,0.65,412.50622253418,413.05795288086
"158","159",1,9106.87655585245,0.945054945054945,386.159850068145,386.897338867188
"159","163",1,5103.86285710023,1,423.987256218405,425.256439208984
"160","162",1,3402.53219655872,0,277.366594202378,278.241882324219
"161","165",1,500.375287601608,1,352.6458984375,352.920074462891
"162","166",1,300.226923289127,1,400.054209391276,400.158569335938
"163","164",1,1100.82312900008,0,292.107652143999,292.253997802735
"164","167",1,100.075644081866,1,400.158508300781,400.158569335938
"165","168",1,100.075764128182,1,435.467681884766,435.539581298828
"166","169",1,100.074834762723,0,292.373443603516,292.390594482422
"167","170",1,100.074837075896,0,292.284545898438,292.551086425781
"168","171",1,100.075660023809,1,402.102478027344,402.211273193359
"169","172",1,100.075082953088,1,365.399719238281,365.428100585938
"170","174",1,100.075685791555,0,413.104431152344,413.379119873047
"171","175",1,300.225335894618,1,377.231862386068,377.562438964844
"172","177",1,300.22706682366,0,413.063934326172,413.379119873047
"173","173",1,1401.04250573646,0,287.789781842913,288.250762939453
"174","179",1,100.075698229426,0,413.962554931641,414.260040283203
"175","176",1,1701.28474510612,1,412.871169146369,413.72265625
"176","180",1,1901.41496120376,0,289.462045769942,290.566009521485
"177","181",1,400.302982855181,0,425.333381652832,425.472351074219
"178","182",1,100.075156155392,1,401.8203125,402.203491210938
"179","183",1,500.375801158836,1,401.808111572266,402.203491210938
"180","184",1,100.075165001501,1,401.794219970703,402.203491210938
"181","186",1,300.223435844935,0,292.360209147135,292.584075927734
"182","185",1,500.377901108819,1,423.041845703125,423.181091308594
"183","187",1,100.075768412236,0,434.537353515625,434.555786132813
"184","188",1,200.150401773164,1,414.219146728516,414.590057373047
"185","189",1,100.075770437077,0,434.432952880859,434.555786132813
"186","190",1,100.075772528362,1,434.438232421875,434.555786132813
"187","178",1,8606.43892261019,0,299.031350778979,299.743774414063
"188","192",1,100.075254203752,1,438.316528320312,438.366882324219
"189","194",1,100.075258752855,1,438.517852783203,438.867431640625
"190","191",1,500.372013394139,0,316.221105957031,316.415008544922
"191","196",1,100.075262678729,1,438.473846435547,438.870544433594
"192","193",1,300.223439070513,0,301.098876953125,301.220672607422
"193","195",1,900.671177096374,0,339.157806396484,339.769775390625
"194","198",1,100.07447961357,0,301.360595703125,301.366333007813
